generated_rd,target_fecha,target_hora,signal_key,edge_label,alert_level,best_score,best_lift,best_mi,best_chi2,rows_used,support,top3,top12,top_pairs,notified,fingerprint
2026-04-04 18:51:36,2026-04-04,7PM,2026-04-04|Anguilla|7PM,SEÑAL DÉBIL,INFO,0.999238,2.172971,0.000533,7.408865,5355,1429,79|43|23,79|43|23|62|12|51|47|13|86|34|20|88,,0,870dbc4ea72908c4c6d94998794ac85d
2026-04-04 07:54:31,2026-04-04,8AM,2026-04-04|Anguilla|8AM,SEÑAL DÉBIL,INFO,1.097742,2.681756,0.00081,12.271666,5344,1374,18|53|92,18|53|92|84|70|82|02|81|48|93|11|13,,0,4b271e6312c51c424fddaec145825aae
2026-04-04 19:59:40,2026-04-04,8PM,2026-04-04|Anguilla|8PM,EDGE MODERADO,LOW,1.097271,2.404577,0.000475,6.899285,5356,1360,53|43|32,53|43|32|42|44|52|69|12|75|38|09|35,,0,395214773bdd17a1be8cfa6bf9af164c
2026-04-04 08:57:18,2026-04-04,9AM,2026-04-04|Anguilla|9AM,EDGE REAL,MEDIUM,1.23988,2.171354,0.000532,7.397631,5345,1400,18|21|02,18|21|02|29|43|01|23|70|78|13|51|20,,1,2c2cd1db7b41f1270f2fbcbc39e5c84c
2026-04-04 20:11:17,2026-04-04,9PM,2026-04-04|Anguilla|9PM,EDGE MODERADO,LOW,1.085778,2.154808,0.000473,6.570048,5357,1337,54|85|53,54|85|53|77|29|82|46|03|21|63|28|37,,1,d4cf0b39779b4ea6ef3f148f674f6955
2026-04-05 09:15:55,2026-04-05,10AM,2026-04-05|Anguilla|10AM,EDGE MODERADO,LOW,1.072066,2.126603,0.000411,5.685583,5361,1386,92|02|38,92|02|38|47|77|79|11|33|83|86|13|17,,1,f190c3c7ad7bfedef7752ab4df185ee5
2026-04-05 21:08:18,2026-04-05,10PM,2026-04-05|Anguilla|10PM,EDGE REAL,MEDIUM,0.953666,2.421533,0.000614,8.956515,5373,1404,24|32|38,24|32|38|92|95|57|99|52|55|62|83|44,,1,aa0cb1adf4543d81e66bd6c686833678
2026-04-05 10:51:44,2026-04-05,11AM,2026-04-05|Anguilla|11AM,EDGE REAL,MEDIUM,1.308321,2.663686,0.0008,12.092767,5362,1348,18|53|68,18|53|68|27|56|45|92|93|61|91|74|09,,0,15651d4c31868a13e92f190dd57acb00
2026-04-05 11:33:33,2026-04-05,12PM,2026-04-05|Anguilla|12PM,EDGE MODERADO,LOW,1.052928,2.101584,0.000358,4.832948,5363,1398,43|24|28,43|24|28|77|99|62|15|25|29|96|54|03,,0,a869b9a5005b30352da3283e48bab833
2026-04-05 12:51:56,2026-04-05,1PM,2026-04-05|Anguilla|1PM,SEÑAL DÉBIL,INFO,1.266981,2.010149,0.0004,5.398968,5364,1400,85|00|43,85|00|43|01|61|95|47|71|51|89|32|36,,0,6d9e84149ddd2288f75700b2e360bd92
